outcome,source_excel_row,uuid,status,decision,score,markers,raw_gap_hypothesis,raw_fields_json,rationale
FN,300,0mb3pb80xb11k8pk,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/CONAgeQuota/O49cL,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/BRANDS2RATEQuota/zNbns,bad:/TotalQuota/Total,bad:qualified,badopen,bad:/RegionQuota/b1V81,bad:/GenderQuota/GKGGU/fVOe7,20260310_09:13_v2,bad:/BRANDS2RATEQuota/Fnvrj",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 4, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 32, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 783.26}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,301,6dseq9ypxm5bhpcr,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/UnJMD,bad:/CONAgeQuota/qikxx,bad:/BRANDS2RATEQuota/W0MBO,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/TotalQuota/Total,bad:/GenderQuota/SXXcl/fVOe7,badopen,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:qualified",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 5, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 4, ""brand_rating_high_8_10"": 20, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 839.246}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,306,h7w0tpq9eshf94ka,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/UnJMD,bad:/RegionQuota/Qa7G0,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/TotalQuota/Total,bad:/CONAgeQuota/NVAwB,bad:/GenderQuota/SXXcl/fVOe7,badopen,20260310_09:13_v2,bad:/BRANDS2RATEQuota/Fnvrj,bad:qualified",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 5, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 4, ""brand_rating_high_8_10"": 32, ""open_count"": 2, ""open_topic_count"": 2, ""qtime"": 689.095}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,310,j10krac477p7w2as,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/CONAgeQuota/qikxx,bad:/BRANDS2RATEQuota/CC8Pm,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/BRANDS2RATEQuota/zNbns,bad:/TotalQuota/Total,bad:/RegionQuota/exYNI,badopen,20260310_09:13_v2,bad:/GenderQuota/SXXcl/fVOe7,bad:qualified",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 6, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 22, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 597.221}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing
FN,344,jsk430y9pwns83ub,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/CONAgeQuota/qikxx,bad:/BRANDS2RATEQuota/CC8Pm,bad:/TotalQuota/Total,bad:qualified,badopen,bad:/RegionQuota/b1V81,bad:/GenderQuota/GKGGU/fVOe7,20260310_09:13_v2,bad:/BRANDS2RATEQuota/Fnvrj,bad:/ChannelQuota/HD or OPE dealers/a79T5",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 8, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 26, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 414.368}",bottom-5% timing: 414s | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,400,vrvsunz3pbubkd89,5,KEEP,0,"bad:/BRANDS2RATEQuota/UEGcM,bad:/BRANDS2RATEQuota/bIVuw,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:/RegionQuota/exYNI,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:qualified",pro/classification branch signal | fragmented brand share allocation,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 13, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 8, ""brand_rating_high_8_10"": 22, ""open_count"": 4, ""open_topic_count"": 2, ""qtime"": 1227.886}",missing supplier metadata | Protective: q11othr1: plausible equipment/brand other-specify; q11othr1: personal/topical phrasing; q11othr4: plausible equipment/brand other-specify
FN,401,2g7gmw586aajyddd,5,KEEP,0,"bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:/BRANDS2RATEQuota/W0MBO",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 12, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 1, ""brand_rating_high_8_10"": 10, ""open_count"": 5, ""open_topic_count"": 4, ""qtime"": 1739.167}",missing supplier metadata | Protective: q11othr2: plausible equipment/brand other-specify; q11othr5: plausible equipment/brand other-specify; qc5: concrete recent OPE/lawn project
FN,402,29bnyfe0mmb621fp,5,KEEP,0,"bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,bad:/RegionQuota/b1V81,bad:/BRANDS2RATEQuota/u1IDH,20260310_09:13_v2",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 13, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 1, ""brand_rating_high_8_10"": 13, ""open_count"": 4, ""open_topic_count"": 3, ""qtime"": 1345.086}",missing supplier metadata | Protective: q11othr2: plausible equipment/brand other-specify; q11othr5: plausible equipment/brand other-specify; qc5: concrete recent OPE/lawn project
FN,411,var1yqtz17s50r7f,5,KEEP,0,"bad:/BRANDS2RATEQuota/UEGcM,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:/BRANDS2RATEQuota/gvZBa,badopen,bad:/CLASSIFYQuota/BJPjU,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:qualified",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 6, ""brand_rating_high_8_10"": 32, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 972.552}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,423,06hu6grgews6u3jr,5,KEEP,0,"bad:/BRANDS2RATEQuota/NPaMe,bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:/BRANDS2RATEQuota/W0MBO",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 32, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 380.137}",bottom-5% timing: 380s; missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,430,qkrgh163s5jmz2ah,5,KEEP,0,"bad:/BRANDS2RATEQuota/UEGcM,bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:/RegionQuota/exYNI,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/W0MBO,bad:qualified",pro/classification branch signal | fragmented brand share allocation,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 9, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 9, ""brand_rating_high_8_10"": 31, ""open_count"": 2, ""open_topic_count"": 2, ""qtime"": 2471.366}",q19_2026othr1: repeated same text across 5 entries; missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; q19_2026othr1: plausible OPE brand
FN,432,cbc2ckc2jga7hn3n,5,KEEP,0,"bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:/RegionQuota/exYNI,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/N5D6j,bad:/BRANDS2RATEQuota/W0MBO,bad:qualified",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 26, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 5129.377}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,433,fay3pnvcah6eh0qr,5,KEEP,0,"bad:/RegionQuota/Qa7G0,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/N5D6j,bad:/BRANDS2RATEQuota/W0MBO",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 27, ""open_count"": 2, ""open_topic_count"": 1, ""qtime"": 5130.369}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; q29: topical ad recall
FN,447,kwgh99vq0yvbf2kp,5,KEEP,0,"bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:/BRANDS2RATEQuota/gvZBa,badopen,bad:/CLASSIFYQuota/BJPjU,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:/BRANDS2RATEQuota/W0MBO,bad:qualified",pro/classification branch signal | Ariens/brand quota condition | fragmented brand share allocation | open text lacks known OPE/store terms,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": true, ""brand_share_answered"": 11, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 10, ""brand_rating_high_8_10"": 19, ""open_count"": 1, ""open_topic_count"": 0, ""qtime"": 2945.262}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,452,xbcgceghbcsvcatn,5,KEEP,0,"bad:/BRANDS2RATEQuota/UEGcM,bad:/RegionQuota/Qa7G0,bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/W0MBO",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 26, ""open_count"": 2, ""open_topic_count"": 1, ""qtime"": 1794.163}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; q29: topical ad recall
FN,454,e7v207qvejfvdj2u,5,KEEP,0,"bad:/RegionQuota/Qa7G0,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,bad:/BRANDS2RATEQuota/u1IDH,20260310_09:13_v2,bad:/BRANDS2RATEQuota/N5D6j",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 24, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 1288.393}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,456,y0pd8nwhbjs5s49z,5,KEEP,0,"bad:/BRANDS2RATEQuota/bIVuw,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/PROAgeQuota/ACXN8,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/RegionQuota/Qa7G0,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/Ariens",pro/classification branch signal | Ariens/brand quota condition,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": true, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 32, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 2625.054}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,458,mah2npux4gxkrm2e,5,KEEP,0,"bad:/RegionQuota/Y3p09,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/BRANDS2RATEQuota/zNbns,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/Fnvrj",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 13, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 32, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 1267.682}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,459,5msv6bp5zt06srgp,5,KEEP,0,"bad:/BRANDS2RATEQuota/UEGcM,bad:/RegionQuota/Qa7G0,bad:/GenderQuota/GKGGU/PGQDJ,bad:/PROAgeQuota/ACXN8,bad:/ChannelQuota/HD or OPE dealers/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:/BRANDS2RATEQuota/gvZBa,badopen,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:qualified",pro/classification branch signal | Ariens/brand quota condition | fragmented brand share allocation,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": true, ""brand_share_answered"": 11, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 10, ""brand_rating_high_8_10"": 15, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 1777.255}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,461,3sd8xg3mscs94ycs,5,KEEP,0,"bad:/BRANDS2RATEQuota/UEGcM,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/BRANDS2RATEQuota/zNbns,bad:/TotalQuota/Total,badopen,bad:/FirmRevQuota/J4v3E,bad:qualified,bad:/PROAgeQuota/ACXN8,bad:/CLASSIFYQuota/BJPjU,bad:/RegionQuota/b1V81,20260310_09:13_v2",pro/classification branch signal | open text lacks known OPE/store terms,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 31, ""open_count"": 1, ""open_topic_count"": 0, ""qtime"": 1650.946}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,462,c3nnkz50n9qcm1y2,5,KEEP,0,"bad:/PROAgeQuota/W6vqU,bad:/BRANDS2RATEQuota/bIVuw,bad:/GenderQuota/GKGGU/PGQDJ,bad:/ChannelQuota/Other channel/PHc09,bad:/TotalQuota/Total,bad:/FirmRevQuota/J4v3E,bad:qualified,badopen,bad:/RegionQuota/Qa7G0,bad:/CLASSIFYQuota/BJPjU,20260310_09:13_v2,bad:/BRANDS2RATEQuota/N5D6j",pro/classification branch signal,"{""is_pro"": true, ""is_consumer"": false, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 15, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 26, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 1160.433}",missing supplier metadata | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
